Short name,,4G_ECGI,MV_RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_E-UTRAN Average CQI [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],Paging record discarded At eNodeB [CDBH],MV_Average number of used DL PRBs [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE DCR [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],MV_PUSCH SINR [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE SRVCC Per Call Rate [CBBH],UL RSSI,MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_VoLTE SRVCC Per Call Rate_Nom [CBBH],MV_VoLTE SRVCC Per Call Rate_Denom [CBBH],MV_Average number of used UL PRBs [CDBH],TA Sampls > 1.5 Km % [CDBH],VoLTE Packet Loss DL_Nom [CBBH],VoLTE Packet Loss UL_Nom [CBBH],PS handover success rate_NOM [LTE Intra System] [CDBH],PS handover success rate_DENOM [LTE Intra System] [CDBH],PS handover success rate_NOM [LTE Inter System] [CDBH],PS handover success rate_DENOM [LTE Inter System] [CDBH],VoLTE IntraF HOSR Exec_DENOM [CBBH],VoLTE IntraF HOSR Exec_NOM [CBBH],VoLTE InterF HOSR Exec_DENOM [CBBH],VoLTE InterF HOSR Exec_NOM [CBBH]
PB_E_T1_OM_DSYA47C_C,26-Feb-23,404-02-812647-43,100,100,0,1384.36,18750.5,11.78,99.46,98.7,100,0,52.3,100,0,0,0.02,,,,100,0,-116.07,83.0564,0.44,0,16,30.28,0.58,,,736,740,76,77,0,0,16,16
,27-Feb-23,404-02-812647-43,100,100,0,931.23,8175.81,11.5,97.39,100,0,0,59.99,100,0,0.04,0.01,,,100,100,0,-115.65,86.7563,0.73,0,125,42.17,0.06,,,224,230,41,41,2,2,122,122
,28-Feb-23,404-02-812647-43,100,100,0,1141.48,10197.55,11.44,98.68,100,0,0,60.88,100,0,0.07,0.01,,,100,100,0,-116.08,80.2556,0.66,0,54,45.86,0.06,,,224,227,89,89,2,2,47,47
,1-Mar-23,404-02-812647-43,99.72,99.69,0,675.34,3495.38,11.04,98.35,100,0,0,90.01,100,0,0.09,0.17,,,100,100,0,-115.96,85.0288,0.83,0,103,51.71,0.17,,,478,486,110,110,2,2,99,99
,2-Mar-23,404-02-812647-43,100,99.61,0,1004.23,16034.13,11.9,99.61,100,0,0,51.24,100,0,0,0.07,,,100,100,0,-114.49,81.5748,0.79,0,55,42.53,0.37,,,776,779,133,133,1,1,54,54
PB_E_T1_OM_GIL659A_A,26-Feb-23,404-02-251394-41,100,99.98,0.02,610.83,7441.79,11.19,99.01,,100,0,80.75,100,0.97,0.12,1.35,,6.7,100,,0,-112.31,187.2016,88.19,0,226,82.19,8.03,,,401,405,0,0,15,15,0,0
,27-Feb-23,404-02-251394-41,99.96,99.98,0,555.8,8766.22,11.37,93.72,,100,0,77.52,100,0,0.07,0.55,,8.87,83.33,,0,-114.15,180.2937,85.44,0,332,90.87,7.9,,,209,223,0,0,24,20,0,0
,28-Feb-23,404-02-251394-41,99.96,99.93,0,470.76,4003.77,11.15,98.81,,0,0,89.95,100,0,0.03,0.41,,9.34,100,,0,-115.04,181.6047,92.8,0,300,87.9,17.68,,,249,252,0,0,37,37,0,0
,1-Mar-23,404-02-251394-41,99.95,99.98,0,444.28,8753.5,11.62,94.92,,100,0,78.58,100,0,0.03,0.43,,9.34,100,,0,-114.17,184.1381,95.74,0,262,89.91,7.51,,,168,177,0,0,24,24,0,0
,2-Mar-23,404-02-251394-41,99.98,99.98,0.02,724.31,9670.2,11.58,99.68,,100,0,71.32,100,0,0.06,0.36,,9.55,100,,0,-112.86,167.2856,106.77,0,410,87.43,8.63,,,627,629,0,0,47,47,0,0
PB_E_T1_OM_KHRR43A_A,26-Feb-23,404-02-13082-41,100,99.57,0.17,650.13,9659.58,9.03,98.94,98.54,100,0,62.42,100,,0.09,3.29,,,100,100,0,-113.63,64.9426,0.71,0,15,29.01,0,,,653,660,202,205,1,1,17,17
,27-Feb-23,404-02-13082-41,100,100,0,728.43,2807.36,8.72,99.54,100,0,0,81.26,100,0,0.04,0.19,,,100,100,0,-113.53,54.8532,0.64,0,64,38.65,0.07,,,429,431,147,147,10,10,68,68
,28-Feb-23,404-02-13082-41,100,100,0,815.14,5899.99,9.06,99.43,98.12,100,0,78.18,100,0,0.3,1.66,,,,100,0,-115.09,58.6674,0.59,0,50,37.25,0.06,,,524,527,209,213,0,0,50,50
,1-Mar-23,404-02-13082-41,100,100,0.28,570.92,4149.66,9.07,99.63,100,100,0,79.26,100,0,0.04,0.12,,,100,100,0,-114.85,58.1057,0.72,0,52,37,0.18,,,272,273,114,114,1,1,54,54
