Short name,,4G_ECGI,MV_RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_E-UTRAN Average CQI [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],Paging record discarded At eNodeB [CDBH],MV_Average number of used DL PRBs [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE DCR [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],MV_PUSCH SINR [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE SRVCC Per Call Rate [CBBH],UL RSSI,MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_VoLTE SRVCC Per Call Rate_Nom [CBBH],MV_VoLTE SRVCC Per Call Rate_Denom [CBBH],MV_Average number of used UL PRBs [CDBH],TA Sampls > 1.5 Km % [CDBH],VoLTE Packet Loss DL_Nom [CBBH],VoLTE Packet Loss UL_Nom [CBBH],PS handover success rate_NOM [LTE Intra System] [CDBH],PS handover success rate_DENOM [LTE Intra System] [CDBH],PS handover success rate_NOM [LTE Inter System] [CDBH],PS handover success rate_DENOM [LTE Inter System] [CDBH],VoLTE IntraF HOSR Exec_DENOM [CBBH],VoLTE IntraF HOSR Exec_NOM [CBBH],VoLTE InterF HOSR Exec_DENOM [CBBH],VoLTE InterF HOSR Exec_NOM [CBBH]
PB_E_T1_OM_GIL659A_A,09-Feb-23,404-02-251394-41,100,100,0,550.01,10408.69,11.67,,,100,0,68.81,100,0,0.04,0.17,,8.43,,,0,-111.19,62.6905,78.59,0,148,90.57,4.77,,,0,0,0,0,0,0,0,0
,10-Feb-23,404-02-251394-41,99.98,99.98,0.03,522.68,8708.28,11.46,,,100,0,72.69,100,0,0.03,0.94,,8.05,,,0,-116.01,166.9246,70.26,0,225,88.67,4.9,,,0,0,0,0,0,0,0,0
,11-Feb-23,404-02-251394-41,99.94,99.96,0,562.95,5757.29,11.45,100,,0,0,87.65,100,0.59,0.02,0.96,,5.29,,,0,-112.8,174.1661,68.53,0,195,90.1,4.56,,,31,31,0,0,0,0,0,0
,12-Feb-23,404-02-251394-41,99.84,100,0.04,453.24,5110.2,11.43,98.72,,100,0,86.29,100,0,0.03,0.26,,8.05,100,,0,-112.05,176.8327,72.62,0,199,89.85,4.51,,,77,78,0,0,2,2,0,0
,13-Feb-23,404-02-251394-41,99.91,99.97,0.01,507.6,4596.27,11.61,86.13,,100,0,85.05,100,0,0.02,0.29,,9.55,100,,0,-115.31,167.4633,86.78,0,289,90.92,4.63,,,149,173,0,0,21,21,0,0
PB_E_T1_OM_KHRR43A_A,09-Feb-23,404-02-13082-41,100,100,0.15,621.31,1676.41,8.88,96.85,,100,0,93.1,100,0,0.06,0.11,,,94.83,,0,-110.13,105.5164,91.38,0,235,72.94,0.14,,,431,445,0,0,58,55,0,0
,10-Feb-23,404-02-13082-41,100,99.97,0.05,708.79,2369.44,8.98,98.61,,100,0,92.57,99.37,0,0.03,0.1,,,100,,0,-115.28,130.6165,76.71,0,165,67.94,0.09,,,355,360,0,0,79,79,0,0
,11-Feb-23,404-02-13082-41,99.95,100,0.08,700.35,3239.61,9.35,99.4,,0,0,87.11,99.56,0,0.07,0.45,,,100,,0,-113.43,115.187,93.48,0,233,67.35,0.05,,,165,166,0,0,117,117,0,0
,12-Feb-23,404-02-13082-41,99.98,99.9,0.04,690.35,2185.83,9.05,99.28,,100,0,92.1,100,1.12,0.04,0.58,,,98,,0,-113.8,127.6692,76.59,0,197,64.52,0.04,,,552,556,0,0,50,49,0,0
,13-Feb-23,404-02-13082-41,99.95,99.93,0.14,746.51,1482.03,9.28,99.3,,100,0,98.61,100,0,0.06,0.04,,,100,,0,-114.14,114.2673,79.66,0,209,69.93,0.06,,,283,285,0,0,70,70,0,0
PB_E_T1_OM_KHRR43B_B,09-Feb-23,404-02-13082-42,100,100,0,1118.08,5366.93,6.42,99.64,,100,0,30.99,100,2.7,0.18,0.15,,,97.3,,0,-113.04,8.4005,7.57,0,33,17.97,0,,,275,276,0,0,37,36,0,0
,10-Feb-23,404-02-13082-42,100,100,0,669.37,5711.98,6.04,100,,100,0,27.15,100,0,0.04,0.15,,,100,,0,-116.89,8.0795,8.87,0,62,10.12,0,,,156,156,0,0,44,44,0,0
,11-Feb-23,404-02-13082-42,99.77,99.76,0,600.94,8205.13,6.37,100,,0,0,32.76,100,0,0.04,0.1,,,100,,0,-115.05,10.6139,8.21,0,30,11.89,0,,,144,144,0,0,66,66,0,0
