Short name,,4G_ECGI,RRC Setup Success Rate [CDBH],ERAB Setup Success Rate [CDBH],PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],PS handover success rate [LTE Intra System] [CDBH],PS handover success rate [LTE Inter System] [CDBH],CSFB Redirection Success Rate [CDBH],E-UTRAN Average CQI [CDBH],MV_Average number of used DL PRBs [CDBH],VoLTE ERAB Setup Success Rate [CBBH],VoLTE Drop Call Rate [CBBH]],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],VoLTE SRVCC SR [CBBH],VoLTE Intra-LTE Handover Success Ratio [CBBH],VoLTE Inter-Frequency Handover Success Ratio [CBBH],UL RSSI [CBBH],MV_4G Data Volume_GB,VoLTE Traffic,Radio NW Availability
,27-Apr-23,404-02-707019-21,,,,721.46,982.81,,,,,98.87,,0,0.02,0.69,,,,,146.16,,
PB_E_F3_HS_ULS019B_B,23-Apr-23,404-02-707019-22,,,,1073.38,1235.78,,,,,98.85,,0,0.49,0.19,,,,,148.51,,
,24-Apr-23,404-02-707019-22,,,,603.86,916.8,,,,,98.94,,0,0.06,0.6,,,,,106.68,,
,25-Apr-23,404-02-707019-22,,,,2380.51,1830.18,,,,,90.48,,0,0.04,0.44,,,,,151.18,,
,26-Apr-23,404-02-707019-22,,,,1550.28,1055.56,,,,,97.7,,0,0.17,0.14,,,,,135.15,,
,27-Apr-23,404-02-707019-22,,,,847.41,895.39,,,,,98.86,,0,0.01,0.32,,,,,111.78,,
PB_E_F3_HS_UPK046A_A,23-Apr-23,404-02-704046-21,100,99.97,0,6561.29,955.77,100,100,100,9.25,84.65,100,0,0.02,0.04,,100,,-97.06,98.01,52.68,64.6
,24-Apr-23,404-02-704046-21,99.95,99.87,0.03,8460.54,1153.92,99.67,93.42,100,9.65,72.85,100,0,0.01,0.04,,100,,-98.77,86.43,55.46,88.56
,25-Apr-23,404-02-704046-21,100,99.95,0.03,5097.74,791.83,99.68,98.56,100,9.31,82.7,100,0,0.01,0.02,,100,,-98.96,103.58,68.31,100
,26-Apr-23,404-02-704046-21,100,99.82,0.06,5637.24,766.17,99.69,98.35,93.33,9.08,81.78,100,0,0,0.03,,100,,-97.38,95.49,55.58,92.71
,27-Apr-23,404-02-704046-21,99.84,99.86,0.01,5964.67,1013.87,100,100,100,9,82,100,0,0,0.04,,100,,-98.24,67.47,38.31,71.12
PB_E_F3_HS_UPK046B_B,23-Apr-23,404-02-704046-22,99.65,99.65,0.3,3356.13,629.82,100,96.59,100,8.94,90.42,99.77,0.66,0.19,0.06,,97.62,,-101.95,115.19,96.19,64.6
,24-Apr-23,404-02-704046-22,99.66,99.9,0.26,2211.78,590.65,100,97.47,100,9.57,93.55,100,0.48,0.11,0.07,,96.99,,-100.62,117.51,97.21,88.56
,25-Apr-23,404-02-704046-22,99.84,99.81,0.16,1859.09,480.35,100,98.04,100,9.21,97.05,99.91,0.24,0.16,0.07,,99.1,100,-100.41,127.69,102.08,100
,26-Apr-23,404-02-704046-22,99.68,99.79,0.3,1339.9,558.16,100,92.2,100,8.87,98.38,100,0.29,0.14,0.04,,99.35,,-101.25,125.89,86.55,92.71
,27-Apr-23,404-02-704046-22,99.58,99.69,0.23,1597.79,537.06,97.87,95.14,100,9.23,97.88,99.65,0.48,0.1,0.05,,96.33,100,-100.98,90.11,73.27,71.12
PB_E_F3_HS_UPK046C_C,23-Apr-23,404-02-704046-23,100,99.9,0.24,5127.46,486.69,33.33,96.89,100,9.32,74.25,99.5,0.95,0.42,0.07,,96.83,100,-105.51,69.22,59.56,64.6
