Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH],PS handover success rate_Nom [LTE Intra System] [CDBH],PS handover success rate_Denom [LTE Intra System] [CDBH],PS handover success rate_Nom [LTE Inter System] [CDBH],PS handover success rate_Denom [LTE Inter System] [CDBH],VoLTE DCR_Nom [CBBH],PS Drop Call Rate_Nom [CDBH],VoLTE ERAB Setup Success Rate_NOM [CBBH],VoLTE ERAB Setup Success Rate_Denom [CBBH],VoLTE IntraF HOSR Exec_Nom [CBBH],VoLTE IntraF HOSR Exec_Denom [CBBH],VoLTE InterF HOSR Exec_Nom [CBBH],VoLTE InterF HOSR Exec_Denom [CBBH],VoLTE DCR_Denom [CBBH],PS Drop Call Rate_Denom [CDBH]
,25-Apr-23,99.83,99.81,0.09,5752.54,100.79,100,,6.99,,0,100,100,100,,0.03,1.33,10.8555,2.74,44.14,-115.39,,,,,,,,,,,,0,,,
,26-Apr-23,99.72,99.68,0.71,3933.75,173.31,99.46,0,7.05,,0,100,100,100,,0.06,2.22,10.7033,2.25,45.64,-115.36,0,,,,,,,,,,,0,,,
,27-Apr-23,100,99.74,0.56,6407.65,245.54,100,0,7.66,,0,92.86,100,100,,0.06,1.25,4.5453,0.63,31.8,-115.39,0,,,,,,,,,,,0,,,
,28-Apr-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH_ZQ_T1_OM_BHAR19A_A,24-Apr-23,99.91,99.81,0,2305.64,287.47,99.83,0,6.27,,0,99.15,100,100,,0,0,9.2482,0.1,60.12,-113.13,0,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0,2578.88,442.19,99.79,,6.45,,0,100,100,100,,0,0,10.5121,0.17,57.92,-112.3,,,,,,,,,,,,0,,,
,26-Apr-23,99.85,97.7,0,3498.79,326.21,99.57,0,6.75,,0,99.3,100,100,,0.14,0,8.9516,0.13,50.26,-111.43,0,,,,,,,,,,,0,,,
,27-Apr-23,99.88,99.74,0,2874.11,510.78,100,0,6,,,98.85,100,100,,0.38,0.15,10.2016,0.11,67.96,-110.1,0,,,,,,,,,,,0,,,
,28-Apr-23,100,100,0,3113.87,134.63,100,0,6.58,,0,100,100,100,,0,0.22,10.136,0.11,50.86,-109.99,0,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_BHAR19B_B,24-Apr-23,99.77,99.76,0,3369.6,444.81,98.78,,7.67,,,99.31,100,,,0,0.02,10.2288,0.8,54.68,-114.91,,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0,3321.85,460.34,100,0,8.09,,0,99.56,100,100,,0,0.01,19.1108,1.12,70.51,-114.07,0,,,,,,,,,,,0,,,
,26-Apr-23,99.8,100,0,4218.83,405.9,99.03,0,8.42,,,100,100,,,0,0.1,15.897,0.97,62.85,-113.66,0,,,,,,,,,,,0,,,
,27-Apr-23,100,99.82,0,4066.79,459.75,100,,7.76,,0,99.51,100,,,0.02,0,16.7525,0.16,69.85,-113.84,,,,,,,,,,,,0,,,
,28-Apr-23,99.8,100,0,9733.68,380.47,98.68,,8.79,,0,99.14,100,,,0.16,0.03,18.1187,0.14,60.61,-113.48,,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_BHAR19C_C,24-Apr-23,100,100,0,8188.99,626.65,100,0,7.51,,33.33,100,100,,,0,0,3.7534,0.03,41.5,-117.82,0,,,,,,,,,,,0,,,
,25-Apr-23,99.81,100,0,5811.73,802.6,100,0,7.61,,0,100,100,100,,0.45,0,7.4719,0.06,38.23,-117.32,0,,,,,,,,,,,0,,,
,26-Apr-23,100,100,0,12465.58,739.55,99.51,0,9.36,,0,100,100,,,0,0.07,5.6859,0.08,22.61,-116.12,0,,,,,,,,,,,0,,,
,27-Apr-23,100,99.82,0,4274.87,797.2,99.34,0,7.46,,0,100,100,,,1.71,0,6.672,0.06,45.41,-116.85,0,,,,,,,,,,,0,,,
,28-Apr-23,100,99.82,0.08,7845.12,442.15,100,,7.61,,0,100,100,,,0,0,9.5061,0.06,55.48,-115.61,,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_BHAR19C_N,24-Apr-23,99.83,100,0,4307.55,929.89,99.11,0,7.6,,0,99.55,100,100,,0,0.03,6.8427,0.27,57.39,-117.32,0,,,,,,,,,,,0,,,
,25-Apr-23,99.94,99.85,0,5668.57,896.94,99.63,0,8.67,,0,99.47,100,100,,0.31,0,23.9075,0.58,57.97,-116.02,0,,,,,,,,,,,0,,,
,26-Apr-23,100,99.97,0,5417.01,978.87,98.35,0,8.65,,0,99.74,98.73,100,,0,0.01,21.4231,0.49,56.45,-114.8,0,,,,,,,,,,,0,,,
,27-Apr-23,99.96,99.98,0,5845.52,986.39,99.34,0,8.89,,0,99.83,100,100,,0.05,0.02,29.148,1.15,50.7,-115.47,0,,,,,,,,,,,0,,,
,28-Apr-23,99.84,100,0,7671.72,536.23,99.22,0,8.22,,0,100,100,100,,0.21,0.18,19.9804,0.13,62.93,-115.05,0,,,,,,,,,,,0,,,
CH_ZQ_T1_OM_BHAR19D_D,24-Apr-23,99.42,99.67,0,2597.68,524.05,98.98,,6,,0,100,100,100,,2.2,0,7.8871,0.05,52.77,-115.06,,,,,,,,,,,,0,,,
,25-Apr-23,100,100,0,16614.59,1552.09,100,,11.26,,,100,100,100,,0,1.14,8.8889,0.09,11.58,-114.45,,,,,,,,,,,,0,,,
,26-Apr-23,100,100,0.23,2885.84,244.27,99.4,0,6.35,,0,100,100,,,0,0,7.8858,0.08,40.2,-114.01,0,,,,,,,,,,,0,,,
,27-Apr-23,100,100,0.05,2467.67,507.65,99.79,0,6.34,,0,100,100,,,0.59,0,7.4204,0.06,44.79,-112.85,0,,,,,,,,,,,0,,,
,28-Apr-23,100,99.77,0.13,1743.54,152.07,99.75,,6.19,,0,99.51,100,100,,0,0,8.9381,0.08,63.79,-112.78,,,,,,,,,,,,0,,,
