Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH]
,07-Apr-23,99.95,99.97,0.14,7896.29,674.46,99.21,,8.03,-111.95,6.67,99.31,100,100,,0.04,0.02,80.3965,3.11,66.48
CH_ZQ_T2_OM_VADAP9C_N,03-Apr-23,99.91,99.91,0.01,1811.38,234.07,99.71,,6.83,-110.74,0,99.72,100,100,,0.08,0.04,66.6904,76.03,91
,04-Apr-23,99.94,99.92,0,2734.59,1434.85,99.47,,6.75,-111,0,99.54,100,99.63,,0.12,0.09,66.3413,55.18,83.81
,05-Apr-23,99.92,99.97,0.01,2130.97,271.11,99.75,,6.77,-110.5,0,99.44,100,99.69,,0.1,0.05,73.12,81.43,88.27
,06-Apr-23,99.91,99.92,0,2897.83,415.49,99.73,,6.84,-110.01,0,99.64,99.64,100,,0.15,0.19,70.2229,70.49,84.29
,07-Apr-23,99.85,99.91,0,2829.3,449.87,99.78,,6.82,-109.58,0,99.66,100,100,,0.12,0.09,54.3197,56.33,77.58
CH_ZQ_T2_OM_VELC15D_D,03-Apr-23,,,,,,,,,,,,,,,,,,,
,04-Apr-23,,,,,,,,,,,,,,,,,,,
,05-Apr-23,,,,,,,,,,,,,,,,,,,
,06-Apr-23,,,,,,,,,,,,,,,,,,,
,07-Apr-23,,,,,,,,,,,,,,,,,,,
TN_ZQ_T1_IM_PERUN3A_L,03-Apr-23,100,99.82,0,6659.69,208.24,,,7.24,-117.12,0,,100,,,0.01,0.02,5.9826,5,34.83
,04-Apr-23,100,100,0,1339.97,83.43,,,8.38,-117.17,0,,100,,,0.33,0.19,3.1889,1.73,65.6
,05-Apr-23,100,97.83,0,3346.86,558.16,,,7.28,-116.94,0,,100,,,0.16,0.04,4.5435,3.79,48.24
,06-Apr-23,100,100,0,10614.12,319.95,,,8.1,-116.79,0,,100,,,0.72,0.04,3.6813,2.36,19.12
,07-Apr-23,100,100,0,5399.22,2732.85,,,7.35,-116.79,0,,100,,,0.47,0.07,3.0571,1.87,12.58
TN_ZQ_T2_IM_PERUN3A_L,03-Apr-23,99.97,99.94,0.01,2475.03,315.46,,,8.36,-112.13,0.41,,99.81,,,0.3,0.18,83.7134,99.46,95.64
,04-Apr-23,100,99.82,0.01,2258.39,637.27,,,8.53,-111.4,0.21,,100,,,0.43,0.22,91.8051,98.97,96.11
,05-Apr-23,99.98,99.98,0.01,3615.52,416.38,,,8.36,-111.77,0.28,,100,,,0.55,0.22,93.4874,109.44,89.38
,06-Apr-23,99.98,100,0.01,5332.27,343.63,,,8.79,-110.78,0.95,,99.78,,,0.66,0.33,89.7868,104.84,76.68
,07-Apr-23,100,99.93,0.01,2332.59,213.49,,,8.46,-111.7,0,,100,,,0.38,0.27,81.1369,93.17,93.19
