Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH]
,28-Mar-23,100,99.65,0,9412.05,1033.23,98.91,100,10.13,-114.84,0,50.75,100,99.51,71.43,0.04,0.02,47.7553,85,61.8,,
CH_E_F1_OM_MANI22B_B,24-Mar-23,100,99.74,0.15,11071.55,6730.04,98.25,100,9.47,-115.43,0,91.3,100,100,100,0.01,0.02,30.3847,35.54,22.42,,
,25-Mar-23,100,99.78,0,7951.22,1095,99.6,100,9.15,-115.25,0,100,100,100,100,0.02,0.02,38.3461,40.79,55.84,,
,26-Mar-23,100,99.02,0,6051.29,4656.62,98.17,100,8.32,-115.27,0,100,100,98.47,100,0.02,0.04,44.8211,39.77,60.77,,
,27-Mar-23,100,99.66,0,6715.13,1774.88,100,,8.42,-115.31,0,100,100,98.89,100,0.04,0.03,35.1333,33.23,52.9,,
,28-Mar-23,100,99.73,0,4784.86,965.65,98.8,100,7.85,-115.33,0,100,100,100,100,0.04,0.03,34.2276,30.62,79.89,,
CH_E_F1_OM_MANI22C_C,24-Mar-23,99.75,99.46,0.15,2867.04,240.66,99.26,100,7.79,-111.03,0,99.02,100,99.48,100,0.09,0.18,67.054,68.93,85.08,,
,25-Mar-23,99.82,99.8,0.16,1562.03,227.77,98.96,100,7.79,-110.97,0,99.31,100,100,100,0.03,0.04,72.2668,73.88,94.91,,
,26-Mar-23,100,99.03,0,2987.01,651.37,99.69,100,8.61,-111.7,0.77,99.44,100,100,94.44,0.05,0.06,72.716,57.9,86.82,,
,27-Mar-23,99.4,100,0.06,2368.84,386.26,99.48,100,8.06,-111.18,0,98.48,100,100,100,0.04,0.05,71.0421,77.33,88.28,,
,28-Mar-23,100,99.02,0.15,4371.91,2828.62,99.76,100,8.31,-110.97,0,99.56,100,100,100,0.04,0.04,64.5466,76.27,66.07,,
CH_E_F1_OM_MMIN18A_A,24-Mar-23,100,99.4,0.39,6965.97,452.74,100,,8.46,-110.47,0,97.92,100,100,100,0.02,0.04,23.8538,29.28,55.46,,
,25-Mar-23,99.65,99.44,0,7762.11,182.34,100,100,8.22,-108.35,0,100,100,100,100,0.03,0.05,17.6503,27.82,38.95,,
,26-Mar-23,99.64,99.22,0,11214.03,312.12,99.11,100,9.44,-107.97,0,100,100,99.2,100,0.04,0.12,20.0475,25,28.73,,
,27-Mar-23,99.35,99.83,0,8528.84,247.51,100,100,8.36,-110.31,0,97.5,100,100,100,0.07,0.05,20.2115,29.83,38.04,,
,28-Mar-23,100,99.3,0.39,9428.26,278.48,100,100,8.8,-109.6,0,100,100,99.46,100,0.7,0.15,21.3994,24.87,38.91,,
CH_E_F1_OM_MMIN18A_L,24-Mar-23,99.29,96.82,1.43,4677.04,71.2,99.59,100,9.26,-104.96,0.28,99.56,100,100,100,0.16,0.27,63.6012,146.07,53.99,,
,25-Mar-23,99.95,99.49,0.27,5725.34,131.63,100,100,9.78,-106.28,0,100,99.55,98.94,100,0.07,0.37,76.1325,148.01,55.91,,
,26-Mar-23,99.95,99.15,0.52,8862.84,111.6,99.1,100,10.07,-105.53,0,100,99.65,98.78,98.08,0.12,0.43,66.6261,147.22,52.5,,
,27-Mar-23,99.89,99.56,0.32,5756.39,127.16,99.55,100,9.17,-109.18,0,100,100,100,100,0.08,0.17,82.2989,158.35,57.53,,
,28-Mar-23,99.72,99.18,0.28,3364.34,100.6,98.82,100,9.13,-109.29,0,100,100,99.64,100,0.09,0.35,89.0625,149.03,69.66,,
