Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic,MV_Average number of used DL PRBs [CDBH],UL RSSI PUCCH,CSFB Redirection Success Rate [CDBH],PS handover success rate_Nom [LTE Intra System] [CDBH],PS handover success rate_Denom [LTE Intra System] [CDBH],PS handover success rate_Nom [LTE Inter System] [CDBH],PS handover success rate_Denom [LTE Inter System] [CDBH],VoLTE DCR_Nom [CBBH],PS Drop Call Rate_Nom [CDBH],VoLTE ERAB Setup Success Rate_NOM [CBBH],VoLTE ERAB Setup Success Rate_Denom [CBBH],VoLTE IntraF HOSR Exec_Nom [CBBH],VoLTE IntraF HOSR Exec_Denom [CBBH],VoLTE InterF HOSR Exec_Nom [CBBH],VoLTE InterF HOSR Exec_Denom [CBBH],VoLTE DCR_Denom [CBBH],PS Drop Call Rate_Denom [CDBH]
,27-Apr-23,99.95,99.59,0.22,5627.51,199.64,100,100,9.07,-115.59,0,98.51,98.97,100,100,0.81,0.72,31.2766,2.87,79.57,,,4,4,40198,40804,0,7,96,97,6,6,,84,22,3198
,28-Apr-23,99.91,99.95,0.19,7713.16,209.6,100,100,9.16,-115.48,0,97.83,100,100,100,0.64,2.35,21.089,1.77,67.46,,,1,1,18630,19044,0,7,78,78,3,3,,60,21,3736
CH_E_T1_HS_HPSC0192B_B,24-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,0,0,,,0,0
,25-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,0,0,,,0,0
,26-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,0,0,,,0,0
,27-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,0,0,,,0,0
,28-Apr-23,100,100,0.23,3230.1,206.23,100,100,7.36,-115.82,0,95.65,100,100,100,0.61,5,3.6493,0.25,35.68,,,729,729,4554,4761,0,2,24,24,6,6,,16,3,870
CH_E_T1_HS_HPSC0192C_C,24-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,0,0,,,0,0
,25-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,0,0,,,0,0
,26-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,0,0,,,0,0
,27-Apr-23,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,0,0,0,0,,,0,0
,28-Apr-23,100,100,0.15,5725.63,780.81,100,100,10.23,-116.04,0,111.76,100,100,100,0.25,8.83,7.6206,0.32,54.83,,,625,625,361,323,0,1,27,27,2,2,,29,3,686
CH_E_T1_HS_HPSC0193A_A,24-Apr-23,99.55,99.51,0,15293.93,167.96,98.9,100,9.88,-116.52,0,98.89,100,100,100,6.42,1.51,4.0214,0.62,16.65,,,32760,33124,32040,32400,0,0,11,11,8,8,,70,10,662
,25-Apr-23,100,100,0,9828.9,594.85,100,,10.2,-116.24,0,,100,87.5,100,3.31,1.08,3.7058,0.66,10.62,,,6724,6724,0,0,0,0,24,24,14,16,,53,5,773
,26-Apr-23,100,100,0.41,10600.24,130.33,98.07,100,10.11,-115.3,0,99.53,100,100,100,4.16,1.89,3.6512,0.77,19.77,,,42021,42849,44732,44944,0,3,24,24,13,13,,72,11,729
,27-Apr-23,99.73,99.68,0.42,12197.04,309.43,97.87,100,10.22,-116.05,0,93.15,100,100,100,2,1.96,2.5313,0.81,19.29,,,34592,35344,44676,47961,0,3,27,27,14,14,,57,5,717
,28-Apr-23,100,100,0,9479.12,187.39,100,,9.45,-115.12,0,98,100,100,100,0.6,0.58,3.1388,1.33,9.39,,,400,400,2450,2500,0,0,26,26,13,13,,72,4,158
CH_E_T1_HS_HPSC0193B_B,24-Apr-23,100,99.87,0.07,5955.02,133.74,100,,8.04,-116.56,0,99.02,100,,98.61,2.46,0.22,5.5509,0.93,50.49,,,961,961,10403,10506,0,1,35,35,0,0,,72,12,1472
,25-Apr-23,100,99.95,0.36,5295.15,246.11,100,100,7.86,-116.25,0,95,100,100,100,1.99,0.23,5.9305,0.98,35.74,,,576,576,24472,25760,0,6,24,24,8,8,,57,7,1654
,26-Apr-23,100,99.89,0.27,5330.84,185.92,96.43,100,7.2,-116.16,0,99.48,100,100,100,9.09,1.86,4.253,1.14,40.66,,,756,784,36290,36481,0,4,37,37,2,2,,71,11,1483
,27-Apr-23,100,99.75,0.21,3625.51,147.51,100,100,7.09,-115.61,0,108.85,100,100,100,6.28,1.79,3.92,1.02,48.71,,,484,484,15252,14012,0,3,61,61,2,2,,99,27,1418
,28-Apr-23,99.88,99.74,0.16,3848.06,130.27,89.66,,7.15,-115.38,0,99,96.77,100,100,3.73,7.39,3.8779,1.13,33.31,,,754,841,39999,40401,0,2,30,31,3,3,,44,18,1267
CH_E_T1_HS_HPSC0193C_C,24-Apr-23,99.78,99.85,0.56,4577.22,132.98,100,,6.99,-117.63,0,96.91,100,,95.65,0.06,0.69,1.818,0.29,39.41,,,2025,2025,9118,9409,0,3,19,19,0,0,,23,3,532
,25-Apr-23,100,99.84,0,2929.88,223.08,98.25,100,6.69,-117.41,0,103.36,100,100,100,0.26,0.78,4.9545,0.37,65.62,,,3192,3249,16359,15827,0,0,27,27,5,5,,19,5,1045
,26-Apr-23,99.89,99.61,0.08,4273.46,171.84,96.08,100,7.28,-117.13,0,99.3,100,100,100,0.47,0.01,3.0867,0.65,38.48,,,2499,2601,20022,20164,0,1,23,23,6,6,,18,6,1322
,27-Apr-23,99.88,99.85,0,1897.38,68.41,100,100,7.18,-116.92,0,100.76,100,100,100,0.17,1.85,3.1614,0.39,57.59,,,2116,2116,18221,18084,0,0,38,38,7,7,,29,5,1028
