"Short name",,"4G_ECGI","TA Sampls > 1.5 Km % [CDBH]","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","VoLTE InterF HOSR Exec_Denom [CBBH]","VoLTE InterF HOSR Exec_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE Packet Loss DL_NOM [CBBH]","VoLTE Packet Loss UL_NOM [CBBH]","MV_VoLTE IntraF HOSR Exec_Denom [CBBH]","MV_VoLTE IntraF HOSR Exec_Nom [CBBH]"
,"27 Feb 23","404-96-801479-2",,100.00,99.89,0.11,,,10.00,100.00,99.64,100.00,0.00,41.10,100.00,0.00,,,,,,100.00,0.00,-106.32,32.2757,0.58,,,0.00,118.00,29.35,221.00,221.00,825.00,828.00,,,,
"HR_ZQ_F1_OM_GHNA26A_A","23 Feb 23","404-96-245626-31",0.08,99.97,99.96,0.00,950.32,14711.77,9.41,100.00,99.59,0.00,0.00,32.93,100.00,0.00,0.01,0.12,,11.77,100.00,100.00,0.00,-118.10,42.7560,62.41,,,0.00,197.00,10.99,342.00,342.00,966.00,970.00,146.00,881.00,,
,"24 Feb 23","404-96-245626-31",0.30,100.00,100.00,0.00,12940.89,19826.14,10.49,100.00,99.54,100.00,0.00,26.05,100.00,0.00,0.01,0.03,,13.23,100.00,100.00,0.00,-118.31,54.2945,89.50,,,0.00,220.00,30.04,173.00,173.00,865.00,869.00,83.00,307.00,,
,"25 Feb 23","404-96-245626-31",0.15,100.00,100.00,0.07,819.22,10877.28,8.86,99.82,99.16,100.00,0.00,46.95,100.00,0.00,0.00,0.02,,11.61,100.00,100.00,0.00,-118.20,50.9752,94.69,,,0.00,277.00,13.17,545.00,546.00,1770.00,1785.00,35.00,272.00,,
,"26 Feb 23","404-96-245626-31",0.28,100.00,99.97,0.00,2205.96,19221.72,10.32,100.00,99.64,100.00,0.00,48.51,100.00,0.00,0.13,0.03,,12.13,100.00,100.00,0.00,-118.32,56.3935,78.42,,,0.00,258.00,15.53,638.00,638.00,1944.00,1951.00,1304.00,207.00,,
,"27 Feb 23","404-96-245626-31",0.22,100.00,100.00,0.03,,,9.75,100.00,99.34,100.00,0.00,36.07,100.00,0.00,0.01,0.03,,13.04,100.00,100.00,0.00,-118.06,27.1370,90.33,,,0.00,199.00,16.71,460.00,460.00,1051.00,1058.00,85.00,219.00,,
"HR_ZQ_F1_OM_GHNA26B_B","23 Feb 23","404-96-245626-32",0.42,100.00,100.00,0.03,1283.59,19782.93,11.09,100.00,99.79,0.00,0.00,25.24,100.00,0.85,0.07,0.07,,11.24,98.84,100.00,0.00,-118.16,52.4670,49.60,,,0.00,110.00,10.04,209.00,209.00,943.00,945.00,689.00,545.00,,
,"24 Feb 23","404-96-245626-32",1.66,100.00,100.00,0.03,1148.02,6897.65,9.39,99.66,99.21,100.00,0.00,55.78,100.00,0.00,0.02,0.04,,12.05,100.00,100.00,0.00,-118.26,47.1459,56.24,,,0.00,112.00,13.91,292.00,293.00,1498.00,1510.00,150.00,185.00,,
,"25 Feb 23","404-96-245626-32",3.99,100.00,99.93,0.04,1247.99,8977.74,9.79,98.96,99.69,100.00,0.00,41.56,100.00,0.00,0.02,0.04,,12.52,100.00,97.06,0.00,-118.20,49.3948,62.85,,,0.00,171.00,13.79,570.00,576.00,1286.00,1290.00,212.00,282.00,,
,"26 Feb 23","404-96-245626-32",2.72,100.00,100.00,0.01,1227.10,9333.16,10.11,100.00,99.83,100.00,0.00,48.02,100.00,0.00,0.03,0.03,,12.75,100.00,100.00,0.00,-118.16,52.9087,60.39,,,0.00,108.00,13.21,554.00,554.00,1747.00,1750.00,223.00,209.00,,
,"27 Feb 23","404-96-245626-32",1.17,99.97,100.00,0.00,,,9.40,100.00,99.16,0.00,0.00,55.74,100.00,0.00,0.01,0.04,,13.16,97.79,100.00,0.00,-117.90,27.5304,63.67,,,0.00,114.00,13.83,173.00,173.00,1068.00,1077.00,122.00,259.00,,
"HR_ZQ_F1_OM_GHNA26C_C","23 Feb 23","404-96-245626-33",3.66,99.92,99.97,0.09,463.26,2944.90,8.15,99.30,96.73,100.00,0.00,85.97,100.00,0.00,0.03,0.10,,10.65,100.00,100.00,0.00,-117.14,48.6932,67.12,,,0.00,220.00,23.31,425.00,428.00,1479.00,1529.00,267.00,693.00,,
,"24 Feb 23","404-96-245626-33",3.34,99.94,99.87,0.07,583.29,3167.28,7.33,99.10,96.04,100.00,0.00,84.73,100.00,0.00,0.02,0.11,,11.13,99.22,97.92,0.00,-117.13,59.5864,87.47,,,0.00,290.00,25.75,438.00,442.00,1405.00,1463.00,308.00,911.00,,
,"25 Feb 23","404-96-245626-33",7.36,100.00,100.00,0.03,709.33,3726.76,7.86,97.71,97.94,0.00,0.00,73.94,100.00,0.00,0.05,0.18,,11.22,100.00,98.36,0.00,-117.05,58.8166,95.99,,,0.00,342.00,15.80,213.00,218.00,1141.00,1165.00,838.00,2132.00,,
,"26 Feb 23","404-96-245626-33",2.92,100.00,99.97,0.12,653.36,2949.30,7.98,99.63,97.26,0.00,0.00,82.00,100.00,0.00,0.04,0.32,,10.73,99.38,100.00,0.00,-117.25,64.0563,83.27,,,0.00,204.00,29.81,544.00,546.00,1493.00,1535.00,498.00,2620.00,,
,"27 Feb 23","404-96-245626-33",2.67,99.94,99.98,0.01,,,7.58,99.75,97.04,0.00,0.00,83.44,100.00,0.00,,,,,,,0.00,-117.05,29.6027,89.22,,,0.00,244.00,20.17,399.00,400.00,1211.00,1248.00,,,,
"HR_ZQ_F1_OM_GHNA26D_D","23 Feb 23","404-96-245626-34",0.00,100.00,100.00,0.09,2060.17,26745.05,10.66,100.00,,0.00,0.00,13.99,100.00,0.00,0.05,0.02,,12.44,100.00,,0.00,-119.87,16.6484,15.26,,,0.00,99.00,5.15,157.00,157.00,0.00,0.00,114.00,38.00,,
,"24 Feb 23","404-96-245626-34",0.00,100.00,100.00,0.00,2200.36,25744.08,10.60,100.00,100.00,100.00,0.00,12.57,100.00,0.00,0.01,0.02,,15.27,100.00,100.00,0.00,-119.76,11.7768,14.33,,,0.00,105.00,7.38,179.00,179.00,228.00,228.00,32.00,38.00,,
,"25 Feb 23","404-96-245626-34",0.00,100.00,100.00,0.00,1390.18,25044.04,10.71,100.00,100.00,0.00,0.00,13.96,100.00,0.00,0.01,0.02,,14.50,100.00,100.00,0.00,-119.71,12.9058,14.71,,,0.00,69.00,3.76,69.00,69.00,71.00,71.00,37.00,25.00,,
,"26 Feb 23","404-96-245626-34",0.00,100.00,100.00,0.00,2559.62,32343.74,11.31,100.00,96.36,100.00,0.00,16.13,100.00,0.00,0.18,0.02,,15.28,100.00,100.00,0.00,-119.75,15.4005,13.31,,,0.00,95.00,5.32,185.00,185.00,265.00,275.00,382.00,34.00,,
