"Short name",,"4G_ECGI","TA Sampls > 1.5 Km % [CDBH]","MV_RRC Setup Success Rate [CDBH]","ERAB Setup Success Rate [CDBH]","MV_PS Drop Call Rate % [CDBH]","MV_UL User Throughput_Kbps [CDBH]","MV_DL User Throughput_Kbps [CDBH]","MV_E-UTRAN Average CQI [CDBH]","MV_PS handover success rate [LTE Intra System] [CDBH]","MV_PS handover success rate [LTE Inter System] [CDBH]","MV_CSFB Redirection Success Rate [CDBH]","Paging record discarded At eNodeB [CDBH]","MV_Average number of used DL PRBs [CDBH]","MV_VoLTE ERAB Setup Success Rate [CBBH]","MV_VoLTE DCR [CBBH]","MV_VoLTE Packet Loss DL [CBBH]","MV_VoLTE Packet Loss UL [CBBH]","VoLTE SRVCC SR [CBBH]","MV_PUSCH SINR [CBBH]","MV_VoLTE IntraF HOSR Exec [CBBH]","MV_VoLTE InterF HOSR Exec [CBBH]","MV_VoLTE SRVCC Per Call Rate [CBBH]","UL RSSI","MV_4G Data Volume_GB","MV_VoLTE Traffic","VoLTE InterF HOSR Exec_Denom [CBBH]","VoLTE InterF HOSR Exec_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Nom [CBBH]","MV_VoLTE SRVCC Per Call Rate_Denom [CBBH]","MV_Average number of used UL PRBs [CDBH]","PS handover success rate_NOM [LTE Intra System] [CDBH]","PS handover success rate_DENOM [LTE Intra System] [CDBH]","PS handover success rate_NOM [LTE Inter System] [CDBH]","PS handover success rate_DENOM [LTE Inter System] [CDBH]","VoLTE Packet Loss DL_NOM [CBBH]","VoLTE Packet Loss UL_NOM [CBBH]","MV_VoLTE IntraF HOSR Exec_Denom [CBBH]","MV_VoLTE IntraF HOSR Exec_Nom [CBBH]"
,"19 Feb 23","404-96-245626-31",0.00,100.00,100.00,0.00,2148.23,20750.50,10.65,100.00,99.74,100.00,0.00,30.00,100.00,0.00,0.00,0.03,,14.34,100.00,99.29,0.00,-118.43,43.6681,44.97,,,0.00,360.00,12.24,484.00,484.00,1893.00,1898.00,6.00,149.00,,
,"20 Feb 23","404-96-245626-31",0.03,100.00,99.96,0.00,1306.09,19060.25,10.58,100.00,99.72,100.00,0.00,39.00,100.00,0.00,0.01,0.02,,13.81,100.00,100.00,0.00,-118.25,41.0211,56.18,,,0.00,144.00,12.53,338.00,338.00,1075.00,1078.00,82.00,143.00,,
,"21 Feb 23","404-96-245626-31",0.03,100.00,99.97,0.00,2587.61,21144.86,11.30,100.00,99.53,100.00,0.00,25.43,100.00,0.00,0.01,0.02,,13.84,100.00,100.00,0.00,-118.24,46.3303,62.32,,,0.00,288.00,11.45,407.00,407.00,1049.00,1054.00,68.00,141.00,,
"HR_ZQ_F1_OM_GHNA26B_B","17 Feb 23","404-96-245626-32",0.29,100.00,99.98,0.00,1897.11,13784.04,10.78,100.00,98.09,0.00,0.00,40.55,100.00,0.89,0.07,0.05,,13.51,99.29,100.00,0.00,-118.36,45.4479,28.08,,,0.00,109.00,11.34,161.00,161.00,1389.00,1416.00,294.00,155.00,,
,"18 Feb 23","404-96-245626-32",0.50,100.00,100.00,0.00,3761.73,24454.10,11.63,100.00,99.91,0.00,0.00,23.42,100.00,0.00,0.01,0.02,,14.14,100.00,100.00,0.00,-118.24,49.8573,29.59,,,0.00,90.00,13.92,125.00,125.00,1138.00,1139.00,29.00,56.00,,
,"19 Feb 23","404-96-245626-32",0.23,99.96,100.00,0.00,1705.31,16157.79,10.74,98.70,99.83,0.00,0.00,31.44,100.00,0.00,0.02,0.03,,12.93,100.00,100.00,0.00,-118.19,43.8979,30.23,,,0.00,130.00,10.09,76.00,77.00,1150.00,1152.00,128.00,124.00,,
,"20 Feb 23","404-96-245626-32",0.22,99.93,99.96,0.02,1877.16,14704.99,10.50,100.00,99.91,0.00,0.00,43.36,100.00,0.00,0.02,0.04,,13.96,100.00,100.00,0.00,-118.19,45.9241,40.60,,,0.00,133.00,11.89,276.00,276.00,1123.00,1124.00,132.00,236.00,,
,"21 Feb 23","404-96-245626-32",0.78,99.97,99.96,0.00,1381.32,11762.78,10.66,100.00,99.76,100.00,0.00,45.68,100.00,1.49,0.02,0.07,,13.97,100.00,91.43,0.00,-118.33,56.1176,46.49,,,0.00,57.00,11.95,286.00,286.00,1271.00,1274.00,179.00,419.00,,
"HR_ZQ_F1_OM_GHNA26C_C","17 Feb 23","404-96-245626-33",1.60,99.95,100.00,0.06,850.04,11279.19,9.07,100.00,99.44,100.00,0.00,33.51,100.00,0.00,0.02,0.04,,12.53,98.98,100.00,0.00,-117.29,28.6466,36.20,,,0.00,120.00,10.58,120.00,120.00,1242.00,1249.00,96.00,140.00,,
,"18 Feb 23","404-96-245626-33",1.79,100.00,99.96,0.03,1210.61,10998.41,8.96,100.00,98.23,100.00,0.00,34.40,100.00,0.00,0.04,0.20,,11.70,100.00,100.00,0.00,-117.22,32.0871,37.35,,,0.00,111.00,10.61,271.00,271.00,1662.00,1692.00,168.00,625.00,,
