Short name,,MV_RRC Setup Success Rate [CDBH],MV_ERAB Setup Success Rate [CDBH],MV_PS Drop Call Rate % [CDBH],MV_DL User Throughput_Kbps [CDBH],MV_UL User Throughput_Kbps [CDBH],MV_PS handover success rate [LTE Intra System] [CDBH],MV_CSFB Redirection Success Rate [CDBH],MV_E-UTRAN Average CQI [CDBH],UL RSSI PUCCH,MV_VoLTE DCR [CBBH],MV_PS handover success rate [LTE Inter System] [CDBH],MV_VoLTE ERAB Setup Success Rate [CBBH],MV_VoLTE IntraF HOSR Exec [CBBH],MV_VoLTE InterF HOSR Exec [CBBH],MV_VoLTE Packet Loss DL [CBBH],MV_VoLTE Packet Loss UL [CBBH],MV_4G Data Volume_GB,MV_VoLTE Traffic
CH_ZQ_T2_OM_AYAN31B_M,13-Mar-23,99.95,99.94,0,14488.43,922.89,100,0,9.18,,,99.91,100,100,,0,0.01,66.7296,4.73
,14-Mar-23,99.99,99.95,0.02,10696.83,668.74,99.76,0,8.77,,0,99.8,100,,,0,0.01,72.7526,5.57
,15-Mar-23,99.99,99.97,0,11603.82,869.12,99.89,0,8.98,,0,99.41,100,100,,0,0,67.9706,3.5
,16-Mar-23,99.95,99.94,0,13688.55,966.01,100,0,8.78,,0,99.88,100,,,0,0.01,61.7261,6.03
,17-Mar-23,99.94,99.93,0.01,14029.37,792.36,99.83,0,9.16,,0,99.82,100,100,,0.01,0.05,62.719,3.89
CH_ZQ_T2_OM_AYAN31C_C,13-Mar-23,99.89,99.91,0.01,6140.31,168.75,99.87,0,7.61,,0,99.72,100,100,,0.2,0.03,54.1551,1.06
,14-Mar-23,100,99.94,0,5699.58,275.03,100,0,7.55,,0,100,100,100,,0.05,0.02,57.6936,1.74
,15-Mar-23,99.99,99.98,0.01,7210.43,604.27,99.9,0,7.78,,0,99.79,100,100,,0.02,0.03,58.8049,1.13
,16-Mar-23,99.89,99.95,0,5848.71,647.24,100,0,7.74,,0,99.87,100,100,100,0.06,0.03,54.7627,1.49
,17-Mar-23,99.98,99.96,0,6722.73,473.3,100,0,7.71,,0,99.87,100,100,,0.02,0.04,55.2647,1.08
CH_ZQ_T2_OM_AYAN31D_D,13-Mar-23,99.88,99.89,0.02,5833.27,140.94,100,0,8.55,,0,99.89,100,100,,0.03,0.01,69.154,4.25
,14-Mar-23,100,99.94,0.01,6714.8,265.12,100,0,8.91,,0,100,100,100,,0.02,0.16,73.6957,6.31
,15-Mar-23,99.97,99.92,0,7105.35,598,100,0,8.66,,0,100,100,,,0,0,75.8981,8.87
,16-Mar-23,99.97,99.98,0.03,7679.59,526.04,99.88,0,8.7,,0,99.75,99.26,100,,0.03,0.01,80.0817,8.22
,17-Mar-23,99.94,99.9,0.01,11676.69,1551.72,99.84,0,9.01,,0,99.72,100,100,,0.02,0.02,85.0152,6.66
